1;DH_CRIACAO;ID_META;DS_TITULO;DS_BANDEIRA;
231;17/03/2023;XmTUXyJ33E;hsm_vencimento_acordo;UNIASSELVI;
232;17/03/2023;KcuAtYz88x;Oferta Comercial 2;UNIASSELVI;
233;21/03/2023;sBYa4uO7ba;Prouni 21.03 Pre-selecionado;UNIASSELVI;
234;21/03/2023;ZPFN9fMCQ7;MTF - VENCIDOS OFERTA;UNIASSELVI;
235;21/03/2023;GmPAZQFyUt;UNIEDU_EXT_1;UNIASSELVI;
236;21/03/2023;5k6bkn5YgX;UNIEDU_EXT_2;UNIASSELVI;
237;21/03/2023;tL2dBQchH0;UNIEDU_EXT_3;UNIASSELVI;
238;21/03/2023;fpDquG6OwI;UNIEDU_PESQ_1;UNIASSELVI;
239;22/03/2023;EpP16kMInB;Polos Avaliação Online;UNIASSELVI;
240;22/03/2023;SwJealoqAN;MTF - VENCE PROXIMOS DIAS;UNIASSELVI;
241;22/03/2023;HwxQulPLYH;Não_Engajados;UNIASSELVI;
242;23/03/2023;8lneTsKY38;2 Chamada Prouni 23.03 Pre-selecionado;UNIASSELVI;
243;23/03/2023;mG3trb0Xil;Pós desconto + bônus;UNIASSELVI;
244;24/03/2023;SPQPn7U4c8;MTF - 79;UNIASSELVI;
245;27/03/2023;CLqhbijX1t;UNIEDU_PESQ_2;UNIASSELVI;
246;27/03/2023;XGYvmTTjhe;UNIEDU_PESQ_3;UNIASSELVI;
247;28/03/2023;c2u08y3IHa;INSCRITOS TÉCNICOS 3;UNIASSELVI;
248;28/03/2023;AfSvsmPs0g;INSCRITOS PROFISSIONALIZANTES 3;UNIASSELVI;
249;28/03/2023;gxrlAD0XAl;UNIEDU_PESQ_4;UNIASSELVI;
250;28/03/2023;GrzpdlZ2sM;UNIEDU_PESQ_1;UNIASSELVI;
251;29/03/2023;fPMwD2NLUu;3º Feirão - 29/03;UNIASSELVI;
252;30/03/2023;1OTpcyXSad;Veteranos - Antes do Início das Aulas;UNIASSELVI;
253;30/03/2023;DwMxIFrt9e;Veteranos - Início das Aulas;UNIASSELVI;
254;30/03/2023;0R9d7dQ2Wx;Prouni Pre-selecionado Último dia;UNIASSELVI;
255;30/03/2023;hEPVpZ2na7;Chuva_Polo_Blumenau;UNIASSELVI;
256;05/04/2023;tdEHrZdBve;Lista de Espera Prouni 05.04;UNIASSELVI;
257;05/04/2023;GNY6TTa68V;Polo_Blumenau_Tragedia;UNIASSELVI;
258;06/04/2023;x2TbeGcaX4;Lista de Espera Prouni 06.04;UNIASSELVI;
259;10/04/2023;bJNEGAApvI;Cross-Sell Uniasselvi 10.04;UNIASSELVI;
260;10/04/2023;OhVrAgSITO;Atendimento Leo App;UNIASSELVI;
261;13/04/2023;3HUE4KJaVN;Prouni Doc Lista Espera 13.04;UNIASSELVI;
262;14/04/2023;SvrI6PBEJH;MTF Quero pix;UNIASSELVI;
263;14/04/2023;sX3fWAE3rr;TÉC/PROF INSCRITOS Ñ CONVERTIDOS;UNIASSELVI;
264;17/04/2023;dM29gXXsxp;Prouni Doc Lista Espera 17.04;UNIASSELVI;
265;17/04/2023;a7bHKEFXey;Prouni Doc Lista Espera 18.04;UNIASSELVI;
266;17/04/2023;Tg9Q7SeiBs;Prouni Doc Lista Espera 19.04;UNIASSELVI;
267;17/04/2023;VhnfKHGr3f;Prouni Doc Lista Espera 19.04.2023;UNIASSELVI;
268;18/04/2023;5NisApQAKZ;PMA EAD 2023.1;UNIASSELVI;
269;18/04/2023;MWjrDWKmBp;HSM Contact Center 19.04;UNIASSELVI;
270;19/04/2023;3n4Y8twZaK;Pesquisa_MCKINSEY;UNIASSELVI;
271;19/04/2023;6wunAGMOmi;Avaliação 4 - Ultima Semana;UNIASSELVI;
272;19/04/2023;yTRwkEOpkF;TÉC/PROF PRÉ INSCRITOS;UNIASSELVI;
273;19/04/2023;Z2GB67bk12;HSM LP Incentivada 19.04;UNIASSELVI;
274;20/04/2023;kbIA7gH8U6;HSM Leo App 19.04;UNIASSELVI;
275;25/04/2023;CyjsWwAOjo;MTF - VENCE PROXIMOS DIAS 2;UNIASSELVI;
276;25/04/2023;G9oqO9MN7o;HSM Incentivada D+3;UNIASSELVI;
277;26/04/2023;b5perMNEIp;HSM Requentado Trabalhador 26.04;UNIASSELVI;
278;26/04/2023;ziBuUFgxUy;HSM Requentado Trabalhador 30.04;UNIASSELVI;
279;27/04/2023;JcdHbBfumz;Disparo IERGS 05.04;UNIASSELVI;
280;28/04/2023;g4Cn19IGpS;HSM Incentivada 28.04;UNIASSELVI;
281;03/05/2023;A1IPQNshtx;MTF - Vencidos MatFree 5;UNIASSELVI;
282;03/05/2023;JOlyIByAd4;LeoApp - Vencidos 5;UNIASSELVI;
283;04/05/2023;DFnDlbjvGa;Campanha Incentivada D+3 07.05;UNIASSELVI;
284;04/05/2023;RXlHwuQIW5;Campanha Incentivada D+3 07.05 S/OFT;UNIASSELVI;
285;04/05/2023;1BGfaOjfif;Retorno Prova;UNIASSELVI;
286;05/05/2023;VVOFw8iFEs;Feirão Especial;UNIASSELVI;
287;08/05/2023;wu2VfcpqXS;UNIEDU_Evento;UNIASSELVI;
288;09/05/2023;9whcuBdX8M;PÓS OFERTA FORMANDOS 60%;UNIASSELVI;
289;11/05/2023;wOxgGqGyxY;Ouvidoria;UNIASSELVI;
290;11/05/2023;JYxpXyXBjd;Indicacao Premiada - Dia das maes 12.05;UNIASSELVI;
291;11/05/2023;VKnP9MMnJF;Indicacao Premiada - Dia maes SV 12.05;UNIASSELVI;
292;16/05/2023;GMAJYjEAro;PRÉ INS;UNIASSELVI;
293;18/05/2023;WaNacZTpNW;Promo Geral - 19/05 a 22/05;UNIASSELVI;
294;18/05/2023;7HhsmvlEVv;Remat. Antecipada - Resposta: NÃO;UNIASSELVI;
295;18/05/2023;jC5CbwcJHA;Remat. Antecipada WhatsApp 03;UNIASSELVI;
296;22/05/2023;W1oeQFhc6w;Campanha 60% 22.05.2023;UNIASSELVI;
297;22/05/2023;L43iUDw2HB;Campanha 50% 22.05.2023;UNIASSELVI;
298;24/05/2023;ggFXmu5ANA;Campanha D+3 Prorrogada 24.05;UNIASSELVI;
299;24/05/2023;PkIVRpEU4q;Campanha Requentado Prorrogada 24.05;UNIASSELVI;
300;24/05/2023;qMHgwaZ2O5;Prorrogação Av4 - 27/05;UNIASSELVI;
301;26/05/2023;oXApjjZspm;Campanha 26.05 D+30;UNIASSELVI;
302;26/05/2023;N4YNRS5GWd;Campanha 26.05 D+3;UNIASSELVI;
303;26/05/2023;GxzAk1FwoM;Campanha 26.05 Requentado;UNIASSELVI;
304;26/05/2023;xAogkTnbk8;Potencial Renovação - 26/05;UNIASSELVI;
305;26/05/2023;5WNyA4TL4r;Campanha 26.05 D-3 - VF;UNIASSELVI;
306;29/05/2023;e2U9sBvv0V;Rematrícula Antecipada WhatsApp 02;UNIASSELVI;
307;30/05/2023;zDeCtPHKCO;Inscrito pós graduação D0;UNIASSELVI;
308;30/05/2023;fyiB2PJ6Vg;Inscrito pós graduação D1;UNIASSELVI;
